genus,species,rank,infra_epithet,scientific_name,common_names,fnct_page,source
Scutellaria,ovata,subspecies,mexicana,Scutellaria ovata subsp. mexicana,,779,"Diggs, Lipscomb & O'Kennon 1999, p. 779"
Scutellaria,parvula,species,,Scutellaria parvula,,779,"Diggs, Lipscomb & O'Kennon 1999, p. 779"
Scutellaria,parvula,variety,australis,Scutellaria parvula var. australis,,780,"Diggs, Lipscomb & O'Kennon 1999, p. 780"
Scutellaria,parvula,variety,missouriensis,Scutellaria parvula var. missouriensis,,780,"Diggs, Lipscomb & O'Kennon 1999, p. 780"
Scutellaria,parvula,variety,parvula,Scutellaria parvula var. parvula,Small Skullcap,780,"Diggs, Lipscomb & O'Kennon 1999, p. 780"
Scutellaria,resinosa,species,,Scutellaria resinosa,Resin-Dot Skullcap; Short-Leaf Skullcap; Resinous Skullcap,780,"Diggs, Lipscomb & O'Kennon 1999, p. 780"
Scutellaria,wrightii,species,,Scutellaria wrightii,Wright's Skullcap,780,"Diggs, Lipscomb & O'Kennon 1999, p. 780"
Secale,cereale,species,,Secale cereale,Rye,1318,"Diggs, Lipscomb & O'Kennon 1999, p. 1318"
Sedum,nuttallianum,species,,Sedum nuttallianum,Yellow Stonecrop,564,"Diggs, Lipscomb & O'Kennon 1999, p. 564"
Sedum,pulchellum,species,,Sedum pulchellum,Texas Stonecrop; Rock-Moss; Widow’s-Cross,564,"Diggs, Lipscomb & O'Kennon 1999, p. 564"
Selaginella,apoda,species,,Selaginella apoda,Meadow Spike-Moss; Basket Selaginella,174,"Diggs, Lipscomb & O'Kennon 1999, p. 174"
Selaginella,arenicola,subspecies,riddellii,Selaginella arenicola subsp. riddellii,Riddell’s Selaginella; Riddell’s Spike-Moss,175,"Diggs, Lipscomb & O'Kennon 1999, p. 175"
Selaginella,peruviana,species,,Selaginella peruviana,Peruvian Spike-Moss,175,"Diggs, Lipscomb & O'Kennon 1999, p. 175"
Selinocarpus,diffusus,species,,Selinocarpus diffusus,Spreading Moonpod,842,"Diggs, Lipscomb & O'Kennon 1999, p. 842"
Senecio,ampullaceus,species,,Senecio ampullaceus,Texas Groundsel,403,"Diggs, Lipscomb & O'Kennon 1999, p. 403"
Senecio,vulgaris,species,,Senecio vulgaris,Common Groundsel,403,"Diggs, Lipscomb & O'Kennon 1999, p. 403"
Senna,alata,species,,Senna alata,Emperor’s-Candlesticks,694,"Diggs, Lipscomb & O'Kennon 1999, p. 694"
Senna,corymbosa,species,,Senna corymbosa,Argentine Senna,694,"Diggs, Lipscomb & O'Kennon 1999, p. 694"
Senna,lindheimeriana,species,,Senna lindheimeriana,Lindheimer’s Senna,694,"Diggs, Lipscomb & O'Kennon 1999, p. 694"
Senna,marilandica,species,,Senna marilandica,Wild Senna; Maryland Senna,694,"Diggs, Lipscomb & O'Kennon 1999, p. 694"
Senna,obtusifolia,species,,Senna obtusifolia,Sickle-Pod; Coffeeweed,694,"Diggs, Lipscomb & O'Kennon 1999, p. 694"
Senna,occidentalis,species,,Senna occidentalis,Coffee Senna; Stypicweed; Bricho,694,"Diggs, Lipscomb & O'Kennon 1999, p. 694"
Senna,pendula,variety,glabrata,Senna pendula var. glabrata,,696,"Diggs, Lipscomb & O'Kennon 1999, p. 696"
Senna,pumilio,species,,Senna pumilio,Dwarf Senna; Pygmy Senna,694,"Diggs, Lipscomb & O'Kennon 1999, p. 694"
Senna,roemeriana,species,,Senna roemeriana,Two-Leaf Senna,696,"Diggs, Lipscomb & O'Kennon 1999, p. 696"
Sesbania,drummondii,species,,Sesbania drummondii,Rattlebush; Poison-Bean; Coffee-Bean; Drummond’s Sesbania,696,"Diggs, Lipscomb & O'Kennon 1999, p. 696"
Sesbania,herbacea,species,,Sesbania herbacea,Coffee-Bean; Bequilla; Colorado River-Hemp; Sesbane,696,"Diggs, Lipscomb & O'Kennon 1999, p. 696"
Setaria,italica,species,,Setaria italica,Foxtail-Millet; Italian-Millet; German-Millet; Hungarian-Millet,1319,"Diggs, Lipscomb & O'Kennon 1999, p. 1319"
Setaria,leucopila,species,,Setaria leucopila,,1319,"Diggs, Lipscomb & O'Kennon 1999, p. 1319"
Setaria,magna,species,,Setaria magna,Giant Bristle Grass; Giant Foxtail Grass,1319,"Diggs, Lipscomb & O'Kennon 1999, p. 1319"
Setaria,parviflora,species,,Setaria parviflora,Knot-Root Bristle Grass,1319,"Diggs, Lipscomb & O'Kennon 1999, p. 1319"
Setaria,pumila,species,,Setaria pumila,Yellow Bristle Grass,1319,"Diggs, Lipscomb & O'Kennon 1999, p. 1319"
Setaria,ramiseta,species,,Setaria ramiseta,,1320,"Diggs, Lipscomb & O'Kennon 1999, p. 1320"
Setaria,reverchonii,species,,Setaria reverchonii,Reverchon’s Bristle Grass,1320,"Diggs, Lipscomb & O'Kennon 1999, p. 1320"
Setaria,scheelei,species,,Setaria scheelei,Southwestern Bristle Grass; Scheele’s Bristle Grass,1320,"Diggs, Lipscomb & O'Kennon 1999, p. 1320"
Setaria,verticillata,species,,Setaria verticillata,Hooked Bristle Grass; Bur Bristle Grass; Foxtail Grass,1320,"Diggs, Lipscomb & O'Kennon 1999, p. 1320"
Setaria,viridis,species,,Setaria viridis,Green Bristle Grass; Green Foxtail Grass,1320,"Diggs, Lipscomb & O'Kennon 1999, p. 1320"
Sherardia,arvensis,species,,Sherardia arvensis,Spurwort; Herb Sherard; Field-Madder,970,"Diggs, Lipscomb & O'Kennon 1999, p. 970"
Sibara,virginica,species,,Sibara virginica,Virginia Sibara,478,"Diggs, Lipscomb & O'Kennon 1999, p. 478"
Sicyos,angulatus,species,,Sicyos angulatus,One-Seed Bur-Cucumber; Wall Bur-Cucumber,570,"Diggs, Lipscomb & O'Kennon 1999, p. 570"
Sida,abutifolia,species,,Sida abutifolia,Spreading Sida,818,"Diggs, Lipscomb & O'Kennon 1999, p. 818"
Sida,spinosa,species,,Sida spinosa,Prickly Sida; Prickly-Mallow,818,"Diggs, Lipscomb & O'Kennon 1999, p. 818"
Sideroxylon,lanuginosum,subspecies,oblongifolium,Sideroxylon lanuginosum subsp. oblongifolium,Chittamwood; Coma; Gum Bumelia; Woolly-Buckthorn; Gum-Elastic,982,"Diggs, Lipscomb & O'Kennon 1999, p. 982"
Silene,antirrhina,species,,Silene antirrhina,Sleepy Catchfly,524,"Diggs, Lipscomb & O'Kennon 1999, p. 524"
Silene,stellata,species,,Silene stellata,Whorled Silene; Starry Campion; Widow’s-Frill,524,"Diggs, Lipscomb & O'Kennon 1999, p. 524"
Silphium,albiflorum,species,,Silphium albiflorum,White Rosinweed; White Compassplant,404,"Diggs, Lipscomb & O'Kennon 1999, p. 404"
Silphium,gracile,species,,Silphium gracile,Simpson Rosinweed; Slender Rosinweed,404,"Diggs, Lipscomb & O'Kennon 1999, p. 404"
Silphium,laciniatum,species,,Silphium laciniatum,Compassplant,404,"Diggs, Lipscomb & O'Kennon 1999, p. 404"
Silphium,radula,species,,Silphium radula,Rough-Stem Rosinweed,406,"Diggs, Lipscomb & O'Kennon 1999, p. 406"
Silybum,marianum,species,,Silybum marianum,Blessed Milk-Thistle; Our-Lady’sthistle; Holy-Thistle,406,"Diggs, Lipscomb & O'Kennon 1999, p. 406"
Simsia,calva,species,,Simsia calva,Awnless Bush-Sunflower,406,"Diggs, Lipscomb & O'Kennon 1999, p. 406"
Sinapis,alba,species,,Sinapis alba,White Mustard,478,"Diggs, Lipscomb & O'Kennon 1999, p. 478"
Sinapis,arvensis,species,,Sinapis arvensis,Field Mustard; Charlock,479,"Diggs, Lipscomb & O'Kennon 1999, p. 479"
Since,that,subspecies,virginica,Since that subsp. virginica,False Aloe; Rattlesnake-Master; Virginia Agave,1080,"Diggs, Lipscomb & O'Kennon 1999, p. 1080"
Siphonoglossa,pilosella,species,,Siphonoglossa pilosella,Hairy Tubetongue; Tubetongue; False Honeysuckle,218,"Diggs, Lipscomb & O'Kennon 1999, p. 218"
Sisymbrium,altissimum,species,,Sisymbrium altissimum,Tumble-Mustard,479,"Diggs, Lipscomb & O'Kennon 1999, p. 479"
Sisymbrium,irio,species,,Sisymbrium irio,Rocket-Mustard; London-Rocket,479,"Diggs, Lipscomb & O'Kennon 1999, p. 479"
Sisymbrium,officinale,species,,Sisymbrium officinale,Hedge-Mustard; Tansy-Mustard,479,"Diggs, Lipscomb & O'Kennon 1999, p. 479"
Sisyrinchium,albidum,species,,Sisyrinchium albidum,White Blue-Eyed-Grass,1176,"Diggs, Lipscomb & O'Kennon 1999, p. 1176"
Sisyrinchium,angustifolium,species,,Sisyrinchium angustifolium,Bermuda Blue-Eyed-Grass,1176,"Diggs, Lipscomb & O'Kennon 1999, p. 1176"
Sisyrinchium,campestre,species,,Sisyrinchium campestre,Prairie Blue-Eyed-Grass,1178,"Diggs, Lipscomb & O'Kennon 1999, p. 1178"
Sisyrinchium,chilense,species,,Sisyrinchium chilense,Sword-Leaf Blue-Eyed-Grass,1178,"Diggs, Lipscomb & O'Kennon 1999, p. 1178"
Sisyrinchium,langloisii,species,,Sisyrinchium langloisii,Pale Blue-Eyed-Grass,1178,"Diggs, Lipscomb & O'Kennon 1999, p. 1178"
Sisyrinchium,minus,species,,Sisyrinchium minus,Least Blue-Eyed-Grass,1178,"Diggs, Lipscomb & O'Kennon 1999, p. 1178"
Sisyrinchium,pruinosum,species,,Sisyrinchium pruinosum,Dotted Blueeyed-Grass,1178,"Diggs, Lipscomb & O'Kennon 1999, p. 1178"
Sium,suave,species,,Sium suave,Water-Parsnip; Hemlock,260,"Diggs, Lipscomb & O'Kennon 1999, p. 260"
Smallanthus,uvedalia,species,,Smallanthus uvedalia,Bear’s-Foot; Hairy Leafcup,408,"Diggs, Lipscomb & O'Kennon 1999, p. 408"
Smilax,bona-nox,species,,Smilax bona-nox,Saw Greenbrier; Fiddle-Leaf Greenbrier; Stretchberry; China-Brier; Bullbrier; Catbrier; Zarzaparrilla; Tramp’s-Trouble; Fringed Greenbrier,1346,"Diggs, Lipscomb & O'Kennon 1999, p. 1346"
Smilax,glauca,species,,Smilax glauca,Sawbrier; Catbrier; Cat Greenbrier; Wild Sarsaparilla; Glaucous-Leaf Greenbrier; Sowbrier; Sarsaparilla-Vine,1346,"Diggs, Lipscomb & O'Kennon 1999, p. 1346"
Smilax,renifolia,species,,Smilax renifolia,,1346,"Diggs, Lipscomb & O'Kennon 1999, p. 1346"
Smilax,rotundifolia,species,,Smilax rotundifolia,Common Greenbrier; Bullbrier; Horsebrier,1346,"Diggs, Lipscomb & O'Kennon 1999, p. 1346"
Smilax,smallii,species,,Smilax smallii,Small’s Greenbrier,1346,"Diggs, Lipscomb & O'Kennon 1999, p. 1346"
Smilax,tamnoides,species,,Smilax tamnoides,Chinaroot; Hellfetter; Bristle Greenbrier; Devil Greenbrier; Hagbrier; Wild Sarsparilla,1346,"Diggs, Lipscomb & O'Kennon 1999, p. 1346"
Solanum,carolinense,species,,Solanum carolinense,Horse-Nettle; Ball-Nettle,1028,"Diggs, Lipscomb & O'Kennon 1999, p. 1028"
Solanum,citrullifolium,species,,Solanum citrullifolium,Melon-Leaf Nightshade,1028,"Diggs, Lipscomb & O'Kennon 1999, p. 1028"
Solanum,dimidiatum,species,,Solanum dimidiatum,Western Horsenettle; Potato-Weed,1028,"Diggs, Lipscomb & O'Kennon 1999, p. 1028"
Solanum,elaeagnifolium,species,,Solanum elaeagnifolium,Trompillo; Silver-Leaf Nightshade; Bull-Nettle; White Horse-Nettle; Whiteweed; Iron - Weed,1030,"Diggs, Lipscomb & O'Kennon 1999, p. 1030"
Solanum,lycopersicum,species,,Solanum lycopersicum,Tomato; Love-Apple; Gold-Apple,1030,"Diggs, Lipscomb & O'Kennon 1999, p. 1030"
Solanum,ptychanthum,species,,Solanum ptychanthum,American Nightshade; Blue-Flower Buffalobur; Hierba Mora Negra,1030,"Diggs, Lipscomb & O'Kennon 1999, p. 1030"
Solanum,rostratum,species,,Solanum rostratum,Buffalo-Bur; Kansas-Thistle; Mala Mujer,1030,"Diggs, Lipscomb & O'Kennon 1999, p. 1030"
Solanum,triquetrum,species,,Solanum triquetrum,Texas Nightshade; Hierba Mora,1031,"Diggs, Lipscomb & O'Kennon 1999, p. 1031"
Solidago,altiplanities,species,,Solidago altiplanities,,415,"Diggs, Lipscomb & O'Kennon 1999, p. 415"
Solidago,canadensis,species,,Solidago canadensis,Common Goldenrod; Canada Goldenrod,410,"Diggs, Lipscomb & O'Kennon 1999, p. 410"
Solidago,canadensis,variety,gilvocanescens,Solidago canadensis var. gilvocanescens,,410,"Diggs, Lipscomb & O'Kennon 1999, p. 410"
Solidago,canadensis,variety,scabra,Solidago canadensis var. scabra,,410,"Diggs, Lipscomb & O'Kennon 1999, p. 410"
Solidago,gigantea,species,,Solidago gigantea,Giant Goldenrod; Late Goldenrod,410,"Diggs, Lipscomb & O'Kennon 1999, p. 410"
Solidago,ludoviciana,species,,Solidago ludoviciana,Willow Goldenrod,410,"Diggs, Lipscomb & O'Kennon 1999, p. 410"
Solidago,missouriensis,variety,fasciculata,Solidago missouriensis var. fasciculata,Missouri Basin Goldenrod,410,"Diggs, Lipscomb & O'Kennon 1999, p. 410"
Solidago,nemoralis,species,,Solidago nemoralis,Old-Field Goldenrod,410,"Diggs, Lipscomb & O'Kennon 1999, p. 410"
Solidago,nemoralis,variety,longipetiolata,Solidago nemoralis var. longipetiolata,,412,"Diggs, Lipscomb & O'Kennon 1999, p. 412"
Solidago,nitida,species,,Solidago nitida,Shiny Goldenrod; Flat-Topped Goldenrod,412,"Diggs, Lipscomb & O'Kennon 1999, p. 412"
Solidago,odora,species,,Solidago odora,Fragrant Goldenrod; Sweet Goldenrod,412,"Diggs, Lipscomb & O'Kennon 1999, p. 412"
Solidago,patula,variety,strictula,Solidago patula var. strictula,Willow Goldenrod,412,"Diggs, Lipscomb & O'Kennon 1999, p. 412"
Solidago,petiolaris,species,,Solidago petiolaris,,412,"Diggs, Lipscomb & O'Kennon 1999, p. 412"
Solidago,petiolaris,variety,angustata,Solidago petiolaris var. angustata,,412,"Diggs, Lipscomb & O'Kennon 1999, p. 412"
Solidago,radula,species,,Solidago radula,Rough Goldenrod,414,"Diggs, Lipscomb & O'Kennon 1999, p. 414"
Solidago,rigida,species,,Solidago rigida,Stiff Goldenrod; Rigid Goldenrod,414,"Diggs, Lipscomb & O'Kennon 1999, p. 414"
Solidago,rugosa,species,,Solidago rugosa,Rough -Leaf Goldenrod; Wrinkled Goldenrod,414,"Diggs, Lipscomb & O'Kennon 1999, p. 414"
Solidago,rugosa,variety,aspera,Solidago rugosa var. aspera,Celtis-Leaf Goldenrod,414,"Diggs, Lipscomb & O'Kennon 1999, p. 414"
Solidago,sempervirens,species,,Solidago sempervirens,Seaside Goldenrod,415,"Diggs, Lipscomb & O'Kennon 1999, p. 415"
Solidago,speciosa,variety,rigidiuscula,Solidago speciosa var. rigidiuscula,Prairie Goldenrod; Noble Goldenrod,414,"Diggs, Lipscomb & O'Kennon 1999, p. 414"
Solidago,ulmifolia,variety,microphylla,Solidago ulmifolia var. microphylla,Elm-Leaf Goldenrod,415,"Diggs, Lipscomb & O'Kennon 1999, p. 415"
